"Code_geographique","Libelle_geographique","Salaire_net_horaire_moyen_en_2014_euro"
24442,"Saint-Léon-sur-l'Isle","11,4"
24520,"Sarlat-la-Canéda","11,1"
24547,"Terrasson-Lavilledieu","11,9"
24551,"Thiviers","11,3"
24557,"Trélissac","13,0"
25031,"Audincourt","11,8"
25036,"Avanne-Aveney","14,2"
25047,"Baume-les-Dames","12,3"
25048,"Bavans","13,7"
25056,"Besançon","12,6"
25057,"Bethoncourt","11,8"
25127,"Charquemont","13,3"
25204,"Doubs","13,3"
25212,"École-Valentin","13,8"
25228,"Étupes","13,8"
25230,"Exincourt","13,0"
25237,"Fesches-le-Châtel","12,6"
25240,"Les Fins","12,6"
25258,"Franois","13,7"
25284,"Grand-Charmont","12,5"
25304,"Hérimoncourt","12,1"
25315,"L'Isle-sur-le-Doubs","12,3"
25321,"Villers-le-Lac","11,8"
25334,"Levier","11,6"
25356,"Maîche","11,5"
25367,"Mandeure","11,9"
25370,"Mathay","13,4"
25381,"Miserey-Salines","15,1"
25388,"Montbéliard","13,4"
25397,"Montferrand-le-Château","14,0"
25411,"Morteau","11,6"
25434,"Ornans","12,7"
25454,"Pirey","15,3"
25462,"Pontarlier","11,7"
25463,"Pont-de-Roide","12,4"
25495,"Roche-lez-Beaupré","13,0"
25512,"Le Russey","12,1"
25527,"Saint-Vit","12,5"
25532,"Saône","13,8"
25539,"Seloncourt","13,1"
25547,"Sochaux","11,6"
25560,"Thise","13,7"
25578,"Valdahon","11,8"
25580,"Valentigney","12,3"
25614,"Vieux-Charmont","13,1"
25632,"Voujeaucourt","14,0"
26004,"Alixan","13,7"
26006,"Allex","13,6"
26010,"Anneyron","12,9"
26011,"Aouste-sur-Sye","12,1"
26037,"Beaumont-lès-Valence","14,3"
26057,"Bourg-de-Péage","12,5"
26058,"Bourg-lès-Valence","13,0"
26063,"Buis-les-Baronnies","11,7"
26064,"Chabeuil","14,3"
26084,"Châteauneuf-sur-Isère","13,3"
26085,"Châteauneuf-du-Rhône","13,6"
26088,"Chatuzange-le-Goubet","13,9"
26096,"Clérieux","12,8"
26108,"Crest","12,0"
26113,"Die","11,3"
26114,"Dieulefit","12,3"
26116,"Donzère","13,2"
26124,"Étoile-sur-Rhône","13,8"
26165,"Livron-sur-Drôme","12,6"
26166,"Loriol-sur-Drôme","12,7"
26170,"Malissard","15,3"
26179,"Mercurol","14,8"
26191,"Montboucher-sur-Jabron","14,3"
26197,"Montélier","16,3"
26198,"Montélimar","13,6"
26206,"Montmeyran","14,7"
26218,"Mours-Saint-Eusèbe","14,1"
26220,"Nyons","11,4"
26231,"Peyrins","14,2"
26235,"Pierrelatte","13,6"
26250,"Pont-de-l'Isère","12,9"
26252,"Portes-lès-Valence","12,1"
26271,"La Roche-de-Glun","14,4"
26281,"Romans-sur-Isère","12,5"
26301,"Saint-Donat-sur-l'Herbasse","12,9"
26307,"Saint-Jean-en-Royans","11,5"
26313,"Saint-Marcel-lès-Valence","13,4"
26324,"Saint-Paul-Trois-Châteaux","16,6"
26325,"Saint-Rambert-d'Albon","12,2"
26330,"Saint-Sorlin-en-Valloire","12,3"
26333,"Saint-Vallier","12,0"
26347,"Tain-l'Hermitage","12,4"
26362,"Valence","13,0"
27016,"Les Andelys","12,4"
27022,"Aubevoye","13,0"
27051,"Beaumont-le-Roger","12,4"
27056,"Bernay","12,7"
27065,"Beuzeville","12,8"
27082,"La Bonneville-sur-Iton","12,6"
27090,"Le Bosc-Roger-en-Roumois","14,6"
27103,"Bourg-Achard","13,6"
27105,"Bourgtheroulde-Infreville","14,2"
27112,"Breteuil","11,3"
27116,"Brionne","12,1"
27165,"Conches-en-Ouche","12,1"
27183,"La Couture-Boussey","13,9"
27226,"Étrépagny","12,6"
27229,"Évreux","12,6"
27230,"Ézy-sur-Eure","13,2"
27275,"Gaillon","12,8"
27279,"Gasny","13,6"
27284,"Gisors","12,8"
27299,"Gravigny","12,7"
27306,"Guichainville","12,9"
27355,"Ivry-la-Bataille","13,2"
27365,"Léry","14,0"
27375,"Louviers","13,1"
27428,"Le Neubourg","12,7"
27438,"Nonancourt","12,0"
27448,"Pacy-sur-Eure","14,2"
27458,"Pîtres","12,9"
27467,"Pont-Audemer","11,8"
27469,"Pont-de-l'Arche","14,0"
27493,"Romilly-sur-Andelle","13,0"
27502,"Rugles","12,3"
27507,"Saint-André-de-l'Eure","12,1"
27528,"Le Vaudreuil","15,6"
27562,"Saint-Marcel","15,2"
27580,"Saint-Ouen-de-Thouberville","14,3"
27602,"Saint-Sébastien-de-Morsent","14,1"
27622,"Serquigny","11,7"
27638,"Le Thuit-Signol","15,1"
27679,"Verneuil-sur-Avre","12,4"
27681,"Vernon","15,0"
27701,"Val-de-Reuil","11,9"
28001,"Abondant","16,5"
28007,"Anet","14,4"
28015,"Auneau","13,4"
28051,"Bonneval","12,5"
28061,"Brou","11,5"
28070,"Champhol","15,4"
28085,"Chartres","14,1"
28088,"Châteaudun","11,7"
28089,"Châteauneuf-en-Thymerais","12,1"
28103,"Cloyes-sur-le-Loir","12,4"
28110,"Le Coudray","15,2"
28116,"Courville-sur-Eure","12,9"
28134,"Dreux","12,0"
28140,"Épernon","14,2"
28168,"Gallardon","14,8"
28191,"Hanches","16,4"
28196,"Illiers-Combray","12,4"
28209,"Lèves","14,8"
28214,"La Loupe","11,5"
28218,"Lucé","11,9"
28220,"Luisant","15,3"
28227,"Maintenon","15,8"
28229,"Mainvilliers","12,8"
28279,"Nogent-le-Roi","13,9"
28280,"Nogent-le-Rotrou","11,8"
28298,"Pierres","14,6"
28337,"Saint-Georges-sur-Eure","14,2"
28348,"Saint-Lubin-des-Joncherets","12,6"
28358,"Saint-Prest","18,8"
28359,"Saint-Rémy-sur-Avre","12,4"
28373,"Senonches","11,9"
28391,"Toury","12,9"
28393,"Tremblay-les-Villages","13,4"
28404,"Vernouillet","12,4"
28422,"Voves","11,7"
29003,"Audierne","11,8"
29004,"Bannalec","11,7"
29006,"Bénodet","14,8"
29011,"Bohars","15,4"
29015,"Bourg-Blanc","12,8"
29019,"Brest","12,5"
29020,"Briec","11,3"
29022,"Camaret-sur-Mer","11,7"
29023,"Carantec","16,8"
29024,"Carhaix-Plouguer","11,5"
29026,"Châteaulin","11,5"
29027,"Châteauneuf-du-Faou","11,5"
29030,"Cléder","11,5"
29031,"Clohars-Carnoët","14,0"
29032,"Clohars-Fouesnant","14,0"
29037,"Combrit","14,0"
29039,"Concarneau","12,8"
29040,"Le Conquet","15,0"
29042,"Crozon","12,0"
29045,"Dirinon","13,8"
29046,"Douarnenez","11,9"
29048,"Edern","12,1"
29049,"Elliant","11,9"
29051,"Ergué-Gabéric","13,4"
29055,"Le Folgoët","12,8"
29057,"La Forêt-Fouesnant","14,7"
29058,"Fouesnant","14,2"
29060,"Gouesnach","14,0"
29061,"Gouesnou","13,9"
29068,"Guiclan","11,3"
29069,"Guilers","13,2"
29072,"Guilvinec","11,0"
29075,"Guipavas","13,6"
29077,"Guissény","12,1"
29080,"Hôpital-Camfrout","13,8"
29091,"Kerlouan","12,1"
29097,"Lampaul-Guimiliau","12,3"
29098,"Lampaul-Plouarzel","13,6"
29101,"Landéda","14,9"
29103,"Landerneau","12,9"
29105,"Landivisiau","12,1"
29113,"Lanmeur","11,3"
29117,"Lannilis","12,3"
29120,"Lanvéoc","11,6"
29124,"Lesneven","11,9"
29130,"Locmaria-Plouzané","14,8"
29135,"Loctudy","13,8"
29137,"Logonna-Daoulas","14,2"
29140,"Loperhet","14,1"
29146,"Melgven","12,2"
29147,"Mellac","12,7"
29149,"Milizac","12,9"
29150,"Moëlan-sur-Mer","13,0"
29151,"Morlaix","12,2"
29153,"Névez","13,2"
29158,"Penmarch","11,7"
29160,"Plabennec","12,5"
29161,"Pleuven","13,4"
29162,"Pleyben","11,6"
29163,"Pleyber-Christ","11,8"
29165,"Plobannalec-Lesconil","12,3"
29169,"Plogonnec","12,4"
29170,"Plomelin","13,0"
29171,"Plomeur","11,7"
29172,"Plomodiern","11,7"
29173,"Plonéis","12,1"
29174,"Plonéour-Lanvern","12,1"
29175,"Plonévez-du-Faou","11,3"
29177,"Plouarzel","13,0"
29178,"Ploudalmézeau","12,5"
29179,"Ploudaniel","12,5"
29181,"Plouédern","12,8"
29184,"Plouénan","11,1"
29185,"Plouescat","11,8"
29188,"Plougasnou","12,6"
29189,"Plougastel-Daoulas","15,2"
29190,"Plougonvelin","15,6"
29191,"Plougonven","11,8"
29195,"Plouguerneau","12,7"
29196,"Plouguin","11,9"
29197,"Plouhinec","11,8"
29198,"Plouider","12,2"
29199,"Plouigneau","12,4"
29204,"Plounéventer","11,9"
29206,"Plounévez-Lochrist","11,4"
29207,"Plourin-lès-Morlaix","12,5"
29209,"Plouvien","12,5"
29210,"Plouvorn","11,6"
29212,"Plouzané","13,6"
29215,"Plozévet","11,4"
29216,"Pluguffan","12,5"
29217,"Pont-Aven","12,2"
29220,"Pont-l'Abbé","12,2"
29225,"Pouldreuzic","11,8"
29232,"Quimper","12,9"
29233,"Quimperlé","12,5"
29234,"Rédené","12,7"
29235,"Le Relecq-Kerhuon","15,3"
29236,"Riec-sur-Bélon","12,4"
29239,"Roscoff","13,4"
29241,"Rosporden","11,6"
29247,"Saint-Évarzec","13,0"
29254,"Saint-Martin-des-Champs","12,1"
29257,"Saint-Pabu","13,3"
29259,"Saint-Pol-de-Léon","11,8"
29260,"Saint-Renan","13,2"
29266,"Saint-Thégonnec","11,7"
29272,"Saint-Yvi","12,1"
29273,"Santec","13,1"
29274,"Scaër","11,0"
29277,"Sizun","12,3"
29279,"Taulé","12,1"
29280,"Telgruc-sur-Mer","11,6"
29284,"Treffiagat","11,9"
29293,"Trégunc","13,0"
29297,"Tréméven","12,4"
29302,"Pont-de-Buis-lès-Quimerch","11,7"
"2A001","Afa","13,8"
"2A004","Ajaccio","13,0"
"2A006","Alata","13,5"
"2A032","Bastelicaccia","13,7"
"2A041","Bonifacio","11,9"
"2A130","Grosseto-Prugna","14,5"
"2A247","Porto-Vecchio","11,9"
"2A249","Propriano","11,2"
"2A271","Sarrola-Carcopino","12,0"
"2A272","Sartène","10,8"
"2A362","Zonza","11,0"
"2B009","Aléria","11,5"
"2B033","Bastia","12,8"
"2B037","Biguglia","13,4"
"2B042","Borgo","13,1"
"2B049","Calenzana","11,7"
"2B050","Calvi","11,5"
"2B096","Corte","11,5"
"2B120","Furiani","14,0"
"2B123","Ghisonaccia","12,1"
"2B134","L'Île-Rousse","12,0"
"2B148","Lucciana","12,8"
"2B207","Penta-di-Casinca","11,5"
"2B251","Prunelli-di-Fiumorbo","10,9"
"2B305","San-Martino-di-Lota","15,0"
"2B309","Santa-Maria-di-Lota","15,4"
"2B342","Ventiseri","11,0"
"2B346","Vescovato","11,7"
"2B353","Ville-di-Pietrabugno","16,8"
30003,"Aigues-Mortes","12,6"
30004,"Aigues-Vives","14,4"
30006,"Aimargues","13,7"
30007,"Alès","11,3"
30010,"Anduze","11,5"
30011,"Les Angles","15,5"
30012,"Aramon","14,6"
30019,"Aubais","14,9"
30020,"Aubord","13,4"
30027,"Bagard","12,3"
30028,"Bagnols-sur-Cèze","13,7"
30032,"Beaucaire","11,8"
30033,"Beauvoisin","13,0"
30034,"Bellegarde","12,5"
30036,"Bernis","12,4"
30037,"Bessèges","10,8"
30039,"Bezouce","12,0"
30042,"Boisset-et-Gaujac","12,2"
30047,"Bouillargues","13,4"
30059,"Le Cailar","12,9"
30060,"Caissargues","14,0"
30061,"La Calmette","12,0"
30062,"Calvisson","14,2"
30075,"Caveirac","14,2"
30082,"Clarensac","14,3"
30083,"Codognan","13,9"
30117,"Fourques","13,7"
30123,"Gallargues-le-Montueux","13,6"
30125,"Garons","12,6"
30128,"Générac","12,8"
30132,"La Grand-Combe","10,4"
30133,"Le Grau-du-Roi","11,9"
30135,"Jonquières-Saint-Vincent","12,1"
30138,"Langlade","15,9"
30141,"Laudun-l'Ardoise","14,7"
30155,"Manduel","12,7"
30156,"Marguerittes","12,6"
30166,"Meynes","13,1"
30169,"Milhaud","12,1"
30179,"Montfrin","12,8"
30189,"Nîmes","12,6"
30202,"Pont-Saint-Esprit","13,9"
30206,"Poulx","15,3"
30209,"Pujaut","17,2"
30210,"Quissac","12,2"
30211,"Redessan","12,5"
30212,"Remoulins","11,4"
30217,"Rochefort-du-Gard","15,0"
30221,"Roquemaure","13,1"
30223,"Rousson","12,6"
30227,"Saint-Ambroix","11,4"
30243,"Saint-Christol-lès-Alès","12,2"
30255,"Saint-Geniès-de-Malgoirès","12,3"
30258,"Saint-Gilles","11,6"
30259,"Saint-Hilaire-de-Brethmas","12,2"
30263,"Saint-Hippolyte-du-Fort","11,1"
30269,"Saint-Jean-du-Gard","10,8"
30274,"Saint-Julien-les-Rosiers","12,2"
30276,"Saint-Laurent-d'Aigouze","13,0"
30278,"Saint-Laurent-des-Arbres","15,0"
30284,"Saint-Martin-de-Valgalgues","11,4"
30294,"Saint-Privat-des-Vieux","13,0"
30295,"Saint-Quentin-la-Poterie","13,4"
30305,"Salindres","12,0"
30321,"Sommières","13,0"
30333,"Uchaud","12,3"
30334,"Uzès","12,4"
30341,"Vauvert","12,2"
30344,"Vergèze","14,1"
30350,"Le Vigan","10,5"
30351,"Villeneuve-lès-Avignon","18,4"
30356,"Rodilhan","12,7"
31004,"Ayguesvives","16,3"
31022,"Aucamville","13,7"
31032,"Aussonne","16,6"
31033,"Auterive","13,0"
31035,"Auzeville-Tolosane","19,4"
31042,"Bagnères-de-Luchon","10,2"
31044,"Balma","18,1"
31048,"Baziège","14,2"
31056,"Beauzelle","16,5"
31065,"Bérat","13,5"
31066,"Bessières","13,0"
31069,"Blagnac","17,1"
31079,"Bouloc","16,5"
31088,"Brax","21,4"
31091,"Bruguières","15,5"
31094,"Buzet-sur-Tarn","15,0"
31100,"Calmont","13,3"
31106,"Caraman","13,6"
31107,"Carbonne","13,1"
31113,"Castanet-Tolosan","15,5"
31116,"Castelginest","14,1"
31117,"Castelmaurou","16,7"
31118,"Castelnau-d'Estrétefonds","14,1"
31135,"Cazères","13,0"
31145,"Cintegabelle","13,1"
31149,"Colomiers","15,7"
31150,"Cornebarrieu","17,4"
31157,"Cugnaux","15,3"
31160,"Daux","16,5"
31163,"Drémil-Lafage","17,3"
31165,"Eaunes","14,5"
31169,"Escalquens","17,6"
31182,"Fenouillet","13,8"
31186,"Fonbeauzard","13,2"
31187,"Fonsorbes","16,0"
31188,"Fontenilles","17,7"
31202,"Fronton","14,1"
31203,"Frouzins","15,1"
31205,"Gagnac-sur-Garonne","15,1"
31230,"Gratentour","15,7"
31232,"Grenade","14,4"
31248,"Labarthe-sur-Lèze","14,7"
31253,"Labastidette","14,1"
31254,"Labège","16,0"
31259,"Lacroix-Falgarde","21,1"
31263,"Lagardelle-sur-Lèze","14,4"
31273,"Lapeyrouse-Fossat","18,7"
31282,"Launaguet","14,2"
31287,"Lavernose-Lacasse","14,6"
31291,"Léguevin","17,0"
31293,"Lespinasse","13,4"
31299,"Lherm","14,5"
31303,"Longages","13,3"
31324,"Martres-Tolosane","12,9"
31341,"Merville","15,6"
31345,"Miremont","13,9"
31351,"Mondonville","15,6"
31358,"Montastruc-la-Conseillère","17,0"
31364,"Montberon","15,7"
31375,"Montesquieu-Volvestre","13,0"
31381,"Montgiscard","15,7"
31389,"Montrabé","16,7"
31390,"Montréjeau","11,5"
31395,"Muret","13,6"
31396,"Nailloux","14,3"
31399,"Noé","13,7"
31410,"Pechbonnieu","15,5"
31417,"Pibrac","21,9"
31420,"Pinsaguel","14,8"
31421,"Pins-Justaret","15,1"
31424,"Plaisance-du-Touch","16,9"
31429,"Pompertuzat","17,6"
31433,"Portet-sur-Garonne","14,1"
31445,"Quint-Fonsegrives","17,6"
31446,"Ramonville-Saint-Agne","15,2"
31451,"Revel","12,8"
31454,"Rieumes","12,9"
31455,"Rieux-Volvestre","13,7"
31458,"Roques","14,6"
31460,"Roquettes","15,4"
31467,"Saint-Alban","13,8"
31481,"Sainte-Foy-de-Peyrolières","15,3"
31483,"Saint-Gaudens","12,0"
31484,"Saint-Geniès-Bellevue","17,5"
31488,"Saint-Jean","15,9"
31490,"Saint-Jory","13,6"
31499,"Saint-Lys","14,3"
31506,"Saint-Orens-de-Gameville","16,3"
31526,"La Salvetat-Saint-Gilles","16,1"
31533,"Saubens","16,9"
31541,"Seilh","20,7"
31547,"Seysses","14,6"
31555,"Toulouse","14,8"
31557,"Tournefeuille","19,6"
31561,"L'Union","16,6"
31572,"Venerque","16,9"
31573,"Verfeil","15,1"
31574,"Vernet","14,0"
31582,"Villefranche-de-Lauragais","14,0"
31584,"Villemur-sur-Tarn","12,5"
31588,"Villeneuve-Tolosane","14,9"
32013,"Auch","12,1"
32107,"Condom","11,2"
32119,"Eauze","11,7"
32132,"Fleurance","11,1"
32147,"Gimont","12,6"
32160,"L'Isle-Jourdain","14,9"
32208,"Lectoure","11,7"
32213,"Lombez","12,4"
32249,"Mauvezin","13,4"
32256,"Mirande","11,3"
32307,"Pavie","12,8"
32410,"Samatan","13,4"
32462,"Vic-Fezensac","11,5"
33003,"Ambarès-et-Lagrave","12,6"
33004,"Ambès","12,0"
33005,"Andernos-les-Bains","15,5"
33009,"Arcachon","14,3"
33011,"Arès","13,9"
33012,"Arsac","15,3"
33013,"Artigues-près-Bordeaux","13,7"
33019,"Audenge","13,2"
33022,"Avensan","12,8"
33029,"Le Barp","14,0"
33030,"Barsac","12,7"
33032,"Bassens","12,2"
33036,"Bazas","12,5"
33037,"Beautiran","13,8"
33039,"Bègles","13,1"
33042,"Belin-Béliet","13,1"
33049,"Beychac-et-Caillau","13,6"
33051,"Biganos","12,9"
33056,"Blanquefort","14,4"
33058,"Blaye","15,2"
33063,"Bordeaux","14,8"
33065,"Bouliac","18,3"
33067,"Bourg","12,7"
33069,"Le Bouscat","16,6"
33075,"Bruges","14,6"
33077,"Cabanac-et-Villagrains","13,1"
33080,"Cadaujac","12,8"
33081,"Cadillac","11,7"
33085,"Camblanes-et-Meynac","15,7"
33090,"Canéjan","14,8"
33096,"Carbon-Blanc","13,4"
33097,"Carcans","12,8"
33099,"Carignan-de-Bordeaux","15,8"
33104,"Castelnau-de-Médoc","12,9"
33108,"Castillon-la-Bataille","11,0"
33109,"Castres-Gironde","13,6"
33119,"Cenon","11,5"
33122,"Cestas","16,9"
33123,"Cézac","12,3"
33138,"Coutras","11,9"
33140,"Créon","12,3"
33143,"Cubzac-les-Ponts","13,3"
33146,"Cussac-Fort-Médoc","12,0"
33154,"Les Églisottes-et-Chalaures","11,4"
33162,"Eysines","13,7"
33165,"Fargues-Saint-Hilaire","14,8"
33167,"Floirac","12,4"
33177,"Gaillan-en-Médoc","11,9"
33179,"Galgon","12,8"
33192,"Gradignan","15,1"
33199,"Gujan-Mestras","13,9"
33200,"Le Haillan","15,8"
33203,"Hourtin","12,2"
33207,"Izon","13,7"
33213,"La Brède","17,2"
33214,"Lacanau","13,7"
33219,"La Lande-de-Fronsac","13,5"
33225,"Landiras","12,9"
33226,"Langoiran","12,9"
33227,"Langon","12,2"
33229,"Lanton","14,4"
33233,"Laruscade","11,9"
33234,"Latresne","17,8"
33236,"Lège-Cap-Ferret","15,0"
33238,"Léognan","16,0"
33240,"Lesparre-Médoc","11,1"
33243,"Libourne","12,7"
33248,"Listrac-Médoc","13,1"
33249,"Lormont","11,3"
33256,"Ludon-Médoc","14,3"
33262,"Macau","13,1"
33273,"Martignas-sur-Jalle","16,7"
33274,"Martillac","14,6"
33281,"Mérignac","14,4"
33284,"Mios","13,5"
33293,"Montussan","14,2"
33312,"Parempuyre","14,1"
33314,"Pauillac","11,9"
33318,"Pessac","14,9"
33322,"Le Pian-Médoc","15,4"
33324,"Pineuilh","11,8"
33327,"Podensac","12,4"
33330,"Pompignac","16,0"
33333,"Le Porge","13,0"
33334,"Portets","13,7"
33337,"Preignac","12,3"
33341,"Pugnac","12,5"
33349,"Quinsac","15,4"
33352,"La Réole","10,8"
33363,"Sadirac","13,9"
33366,"Saint-André-de-Cubzac","13,0"
33376,"Saint-Aubin-de-Médoc","20,1"
33381,"Saint-Caprais-de-Bordeaux","13,7"
33382,"Saint-Christoly-de-Blaye","12,3"
33389,"Saint-Ciers-sur-Gironde","13,6"
33393,"Saint-Denis-de-Pile","11,8"
33397,"Sainte-Eulalie","14,1"
33402,"Sainte-Foy-la-Grande","12,1"
33413,"Saint-Germain-du-Puch","13,7"
33417,"Sainte-Hélène","13,8"
33422,"Saint-Jean-d'Illac","16,2"
33424,"Saint-Laurent-Médoc","12,2"
33433,"Saint-Loubès","13,8"
33434,"Saint-Louis-de-Montferrand","12,5"
33435,"Saint-Macaire","12,6"
33447,"Saint-Médard-de-Guizières","11,3"
33448,"Saint-Médard-d'Eyrans","13,9"
33449,"Saint-Médard-en-Jalles","15,7"
33466,"Saint-Quentin-de-Baron","12,1"
33473,"Saint-Savin","12,2"
33474,"Saint-Selve","14,7"
33478,"Saint-Seurin-sur-l'Isle","10,9"
33483,"Saint-Sulpice-et-Cameyrac","15,0"
33492,"Saint-Yzan-de-Soudiac","11,9"
33496,"Salleboeuf","14,7"
33498,"Salles","13,5"
33501,"Saucats","14,5"
33514,"Soulac-sur-Mer","11,2"
33519,"Le Taillan-Médoc","15,6"
33522,"Talence","13,9"
33527,"Le Teich","13,2"
33529,"La Teste-de-Buch","13,0"
33533,"Toulenne","11,9"
33535,"Tresses","14,2"
33539,"Vayres","13,6"
33540,"Vendays-Montalivet","12,1"
33550,"Villenave-d'Ornon","13,4"
33554,"Yvrac","15,0"
33555,"Marcheprime","13,5"
34003,"Agde","11,7"
34010,"Aniane","13,3"
34022,"Baillargues","15,5"
34023,"Balaruc-les-Bains","13,0"
34024,"Balaruc-le-Vieux","13,8"
34028,"Bédarieux","11,4"
34031,"Bessan","11,9"
34032,"Béziers","11,8"
34037,"Boujan-sur-Libron","13,8"
34051,"Canet","13,1"
34052,"Capestang","12,0"
34057,"Castelnau-le-Lez","15,8"
34058,"Castries","15,4"
34063,"Caux","12,1"
34069,"Cazouls-lès-Béziers","11,9"
34073,"Cers","11,9"
34074,"Cessenon-sur-Orb","11,8"
34077,"Clapiers","16,5"
34079,"Clermont-l'Hérault","12,1"
34081,"Colombiers","12,8"
34087,"Cournonsec","13,8"
34088,"Cournonterral","13,2"
34090,"Le Crès","15,0"
34095,"Fabrègues","13,5"
34101,"Florensac","11,6"
34108,"Frontignan","12,3"
34111,"Ganges","10,9"
34113,"Gigean","12,7"
34114,"Gignac","12,7"
34116,"Grabels","13,9"
34120,"Jacou","14,6"
34123,"Juvignac","14,8"
34126,"Lamalou-les-Bains","12,9"
34127,"Lansargues","14,2"
34129,"Lattes","15,5"
34134,"Lavérune","13,6"
34135,"Lespignan","12,2"
34140,"Lignan-sur-Orb","13,5"
34142,"Lodève","11,2"
34143,"Loupian","12,9"
34145,"Lunel","12,0"
34146,"Lunel-Viel","12,8"
34147,"Magalas","12,3"
34148,"Maraussan","12,1"
34150,"Marseillan","11,3"
34151,"Marsillargues","13,0"
34154,"Mauguio","14,1"
34157,"Mèze","12,6"
34159,"Mireval","13,1"
34161,"Montady","12,5"
34162,"Montagnac","11,6"
34163,"Montarnaud","14,4"
34165,"Montbazin","13,8"
34166,"Montblanc","12,6"
34169,"Montferrier-sur-Lez","21,5"
34172,"Montpellier","13,0"
34176,"Mudaison","14,7"
34178,"Murviel-lès-Béziers","12,2"
34183,"Nissan-lez-Enserune","11,9"
34192,"Palavas-les-Flots","13,0"
34194,"Paulhan","11,3"
34198,"Pérols","15,6"
34199,"Pézenas","11,6"
34202,"Pignan","14,3"
34207,"Pomérols","12,2"
34209,"Portiragnes","12,7"
34213,"Poussan","12,8"
34217,"Prades-le-Lez","15,5"
34225,"Puisserguier","11,7"
34239,"Saint-André-de-Sangonis","12,7"
34240,"Saint-Aunès","15,1"
34244,"Saint-Brès","13,7"
34247,"Saint-Clément-de-Rivière","21,1"
34249,"Saint-Drézéry","15,9"
34255,"Saint-Gély-du-Fesc","18,3"
34259,"Saint-Georges-d'Orques","14,5"
34270,"Saint-Jean-de-Védas","16,4"
34272,"Saint-Just","13,1"
34274,"Saint-Martin-de-Londres","13,2"
34276,"Saint-Mathieu-de-Tréviers","14,7"
34281,"Saint-Pargoire","12,6"
34284,"Saint-Pons-de-Thomières","11,5"
34289,"Saint-Thibéry","11,6"
34298,"Sauvian","13,4"
34299,"Sérignan","12,3"
34300,"Servian","12,3"
34301,"Sète","12,2"
34307,"Sussargues","17,6"
34309,"Teyran","17,0"
34310,"Thézan-lès-Béziers","12,2"
34320,"Vailhauquès","15,2"
34321,"Valergues","14,0"
34324,"Valras-Plage","11,8"
34327,"Vendargues","14,3"
34329,"Vendres","12,7"
34332,"Vias","11,4"
34333,"Vic-la-Gardiole","12,4"
34336,"Villeneuve-lès-Béziers","11,8"
34337,"Villeneuve-lès-Maguelone","13,7"
34341,"Villeveyrac","12,5"
34344,"La Grande-Motte","13,4"
35001,"Acigné","14,8"
35006,"Argentré-du-Plessis","12,9"
35012,"Bain-de-Bretagne","12,5"
35013,"Bains-sur-Oust","12,9"
35014,"Bais","11,5"
35015,"Balazé","12,2"
35016,"Baulon","12,5"
35023,"Bédée","13,4"
35024,"Betton","15,8"
35031,"La Bouëxière","13,1"
35032,"Bourgbarré","13,7"
35033,"Bourg-des-Comptes","13,1"
35037,"Bréal-sous-Montfort","13,0"
35039,"Brécé","14,4"
35040,"Breteil","12,7"
35047,"Bruz","15,8"
35049,"Cancale","13,6"
35051,"Cesson-Sévigné","17,6"
35055,"Chantepie","14,2"
35059,"La Chapelle-des-Fougeretz","14,5"
35066,"Chartres-de-Bretagne","14,5"
35068,"Châteaubourg","13,6"
35069,"Châteaugiron","15,7"
35076,"Chavagne","14,3"
35080,"Cintré","14,2"
35085,"Combourg","12,5"
35088,"Corps-Nuds","13,3"
35090,"Crevin","12,8"
35093,"Dinard","14,2"
35095,"Dol-de-Bretagne","11,7"
35096,"Domagné","12,6"
35099,"Domloup","14,2"
35109,"Étrelles","12,6"
35115,"Fougères","12,0"
35116,"La Fresnais","11,1"
35120,"Gévezé","13,9"
35123,"Goven","13,3"
35124,"Grand-Fougeray","12,2"
35125,"La Guerche-de-Bretagne","11,7"
35126,"Guichen","13,3"
35127,"Guignen","12,3"
35129,"Guipry","11,7"
35130,"Hédé-Bazouges","13,3"
35131,"L'Hermitage","13,2"
35133,"Iffendic","12,3"
35135,"Irodouër","12,0"
35136,"Janzé","12,9"
35139,"Laillé","14,8"
35150,"Lécousse","13,6"
35152,"Liffré","14,4"
35162,"Louvigné-du-Désert","10,9"
35167,"Martigné-Ferchaud","11,9"
35168,"Maure-de-Bretagne","11,9"
35173,"Melesse","14,7"
35176,"Messac","12,0"
35177,"La Mézière","14,8"
35179,"Miniac-Morvan","11,5"
35184,"Montauban-de-Bretagne","12,8"
35188,"Montfort-sur-Meu","13,7"
35189,"Montgermont","15,3"
35195,"Montreuil-sur-Ille","12,6"
35196,"Mordelles","13,4"
35204,"Nouvoitou","14,1"
35206,"Noyal-Châtillon-sur-Seiche","13,8"
35207,"Noyal-sur-Vilaine","14,0"
35208,"Orgères","14,0"
35210,"Pacé","16,2"
35219,"Pipriac","11,5"
35220,"Piré-sur-Seiche","12,8"
35221,"Pléchâtel","12,5"
35223,"Plélan-le-Grand","12,1"
35224,"Plerguer","11,2"
35227,"Pleumeleuc","13,3"
35228,"Pleurtuit","12,7"
35236,"Redon","12,6"
35238,"Rennes","14,0"
35239,"Retiers","11,9"
35240,"Le Rheu","14,6"
35241,"La Richardais","14,9"
35243,"Romagné","12,6"
35245,"Romillé","13,1"
35251,"Saint-Aubin-d'Aubigné","13,0"
